Species,Class,Order,Family,Game,CreavesSpecies,CreavesGroup,Subside
Accipiter gentilis,Oiseaux,Accipitriformes,Accipitridés,0,Autour des palombes,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Accipiter nisus,Oiseaux,Accipitriformes,Accipitridés,0,Epervier d'Europe,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Aquila chrysaetos,Oiseaux,Accipitriformes,Accipitridés,0,Aigle royal,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Aquila clanga,Oiseaux,Accipitriformes,Accipitridés,0,Aigle criard,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Aquila pomarina,Oiseaux,Accipitriformes,Accipitridés,0,Aigle pomarin,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Buteo buteo,Oiseaux,Accipitriformes,Accipitridés,0,Buse variable,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Buteo lagopus,Oiseaux,Accipitriformes,Accipitridés,0,Buse pattue,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Circaetus gallicus,Oiseaux,Accipitriformes,Accipitridés,0,Circaète Jean le blanc,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Circus aeruginosus,Oiseaux,Accipitriformes,Accipitridés,0,Busard des roseaux,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Circus cyaneus,Oiseaux,Accipitriformes,Accipitridés,0,Busard Saint Martin,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Circus macrourus,Oiseaux,Accipitriformes,Accipitridés,0,Busard pâle,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Circus pygargus,Oiseaux,Accipitriformes,Accipitridés,0,Busard cendré,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Elanus caeruleus,Oiseaux,Accipitriformes,Accipitridés,0,Elanion blanc,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Gyps fulvus,Oiseaux,Accipitriformes,Accipitridés,0,Vautour fauve,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Haliaeetus albicilla,Oiseaux,Accipitriformes,Accipitridés,0,Pygargue à queue blanche,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Hieraaetus fasciatus,Oiseaux,Accipitriformes,Accipitridés,0,Aigle de Bonelli,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Hieraaetus pennatus,Oiseaux,Accipitriformes,Accipitridés,0,Aigle botté,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Milvus migrans,Oiseaux,Accipitriformes,Accipitridés,0,Milan noir,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Milvus milvus,Oiseaux,Accipitriformes,Accipitridés,0,Milan royal,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Neophron percnopterus,Oiseaux,Accipitriformes,Accipitridés,0,Vautour percnoptère,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Pernis apivorus,Oiseaux,Accipitriformes,Accipitridés,0,Bondrée apivore,"Rapaces, oiseaux d’eau, échassiers ou limicoles",1.37
Acrocephalus agricola,Oiseaux,Passériformes,Acrocéphalidés,0,Rousserolle isabelle,Autres oiseaux et chauves-souris,1.12
Acrocephalus arundinaceus,Oiseaux,Passériformes,Acrocéphalidés,0,Rousserolle turdoïde,Autres oiseaux et chauves-souris,1.12
Acrocephalus paludicola,Oiseaux,Passériformes,Acrocéphalidés,0,Phragmite aquatique,Autres oiseaux et chauves-souris,1.12
Acrocephalus palustris,Oiseaux,Passériformes,Acrocéphalidés,0,Rousserolle verderolle,Autres oiseaux et chauves-souris,1.12
Acrocephalus schoenobaenus,Oiseaux,Passériformes,Acrocéphalidés,0,Phragmite des joncs,Autres oiseaux et chauves-souris,1.12
Acrocephalus scirpaceus,Oiseaux,Passériformes,Acrocéphalidés,0,Rousserolle effarvatte,Autres oiseaux et chauves-souris,1.12
Hippolais icterina,Oiseaux,Passériformes,Acrocéphalidés,0,Hypolaïs ictérine,Autres oiseaux et chauves-souris,1.12
Hippolais polyglotta,Oiseaux,Passériformes,Acrocéphalidés,0,Hypolaïs polyglotte,Autres oiseaux et chauves-souris,1.12
Aegithalos caudatus,Oiseaux,Passériformes,Aegithalidés,0,Orite à longue queue,Autres oiseaux et chauves-souris,1.12
Alauda arvensis,Oiseaux,Passériformes,Alaudidés,0,Alouette des champs,Autres oiseaux et chauves-souris,0.96
Calandrella brachydactyla,Oiseaux,Passériformes,Alaudidés,0,Alouette calandrelle,Autres oiseaux et chauves-souris,0.96
Eremophila alpestris,Oiseaux,Passériformes,Alaudidés,0,Alouette haussecol,Autres oiseaux et chauves-souris,1.12
Galerida cristata,Oiseaux,Passériformes,Alaudidés,0,Cochevis huppé,Autres oiseaux et chauves-souris,1.12
Lullula arborea,Oiseaux,Passériformes,Alaudidés,0,Alouette lulu,Autres oiseaux et chauves-souris,1.12
Melanocorypha calandra,Oiseaux,Passériformes,Alaudidés,0,Alouette calandre,Autres oiseaux et chauves-souris,1.12
Melanocorypha leucoptera,Oiseaux,Passériformes,Alaudidés,0,Alouette leucoptère,Autres oiseaux et chauves-souris,1.12
Alcedo atthis,Oiseaux,Coraciiformes,Alcédinidés,0,Martin-pêcheur d'Europe,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Alca torda,Oiseaux,Charadriiformes,Alcidés,0,Pingouin torda,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Alle alle,Oiseaux,Charadriiformes,Alcidés,0,Mergule nain,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Fratercula arctica,Oiseaux,Charadriiformes,Alcidés,0,Macareux moine,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Mergus albellus,Oiseaux,Ansériformes,Anatidés,0,Harle piette,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Mergus merganser,Oiseaux,Ansériformes,Anatidés,0,Harle bièvre,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Mergus serrator,Oiseaux,Ansériformes,Anatidés,0,Harle huppé,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Uria aalge,Oiseaux,Charadriiformes,Alcidés,0,Guillemot de Troïl,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Anas acuta,Oiseaux,Ansériformes,Anatidés,0,Canard pilet,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Anas clypeata,Oiseaux,Ansériformes,Anatidés,0,Canard souchet,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Anas crecca,Oiseaux,Ansériformes,Anatidés,1,Sarcelle d'hiver,"rapaces, oiseaux d’eau, échassiers ou limicoles",0
Anas discors,Oiseaux,Ansériformes,Anatidés,0,Sarcelle à ailes bleues,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Anas penelope,Oiseaux,Ansériformes,Anatidés,0,Canard siffleur,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Anas platyrhynchos,Oiseaux,Ansériformes,Anatidés,1,Canard colvert,"Rapaces, oiseaux d’eau, échassiers ou limicoles",0
Anas strepera,Oiseaux,Ansériformes,Anatidés,0,Canard chipeau,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Anser albifrons,Oiseaux,Ansériformes,Anatidés,0,Oie rieuse,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Anser brachyrhynchus,Oiseaux,Ansériformes,Anatidés,0,Oie à bec court,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Anser fabalis,Oiseaux,Ansériformes,Anatidés,0,Oie des moissons,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Aythya collaris,Oiseaux,Ansériformes,Anatidés,0,Fuligule à bec cerclé,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Aythya ferina,Oiseaux,Ansériformes,Anatidés,0,Fuligule milouin,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Aythya fuligula,Oiseaux,Ansériformes,Anatidés,0,Fuligule morillon,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Aythya marila,Oiseaux,Ansériformes,Anatidés,0,Fuligule milouinan,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Aythya nyroca,Oiseaux,Ansériformes,Anatidés,0,Fuligule nyroca,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Branta bernicla,Oiseaux,Ansériformes,Anatidés,0,Bernache cravant,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Branta leucopsis,Oiseaux,Ansériformes,Anatidés,0,Bernache nonnette,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Branta ruficollis,Oiseaux,Ansériformes,Anatidés,0,Bernache à cou roux,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Bucephala clangula,Oiseaux,Ansériformes,Anatidés,0,Garrot à oeil d'or,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Clangula hyemalis,Oiseaux,Ansériformes,Anatidés,0,Harelde boréale,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Cygnus columbianus bewickii,Oiseaux,Ansériformes,Anatidés,0,Cygne de Bewick,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Cygnus cygnus,Oiseaux,Ansériformes,Anatidés,0,Cygne chanteur,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
Melanitta fusca,Oiseaux,Ansériformes,Anatidés,0,Macreuse brune,"Rapaces, oiseaux d’eau, échassiers ou limicoles",3.21
