species_name,candidate_type,source_class,source_order,source_family,source_agw_group,decision,review_notes
Pigeon colombin,Petits Oiseaux,Aves,Columbiformes,Colombidés,Autre oiseau,pending_domain_review,taxonomy: Aves residual operational group
Pigeon domestique,Petits Oiseaux,Aves,Columbiformes,Colombidés,Domestique,pending_domain_review,taxonomy: Aves residual operational group
Pigeon ramier,Petits Oiseaux,Aves,Columbiformes,Colombidés,Autre oiseau,pending_domain_review,taxonomy: Aves residual operational group
Pingouin torda,Grands Oiseaux,Aves,Charadriiformes,Alcidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Pinson des arbres,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pinson du Nord,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pipistrelle,chauves-souris,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Pipistrelle,chauves-souris,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Pipistrelle,chauves-souris,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Pipistrelle,chauves-souris,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Pipit de Richard,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pipit des arbres,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pipit farlouse,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pipit maritime,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pipit rousseline,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pipit spioncelle,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pipit à gorge rousse,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Plongeon arctique,Grands Oiseaux,Aves,Gaviiformes,Gaviidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Plongeon catmarin,Grands Oiseaux,Aves,Gaviiformes,Gaviidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Pluvier argenté,Moyens Oiseaux,Aves,Charadriiformes,Charadriidés,Limicole,pending_domain_review,source description exact-name membership
Pluvier doré,Moyens Oiseaux,Aves,Charadriiformes,Charadriidés,Limicole,pending_domain_review,source description exact-name membership
