species_name,candidate_type,source_class,source_order,source_family,source_agw_group,decision,review_notes
Bernache cravant,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Bernache du Canada,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Bernache nonnette,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Bernache à cou roux,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Bihoreau gris,Grands Oiseaux,Aves,Pélécaniformes,Ardeidés,Grand échassier,pending_domain_review,source description exact-name membership
Blaireau d'Europe,Mustélidés,Mammalia,Musteloidea,Mustélidés,Mustélidé,pending_domain_review,taxonomy: AGW Mustélidé
Blongios nain,Grands Oiseaux,Aves,Pélécaniformes,Ardeidés,Grand échassier,pending_domain_review,source description exact-name membership
Bondrée apivore,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Bouscarle de Cetti,Petits Oiseaux,Aves,Passériformes,Cettiidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bouvreuil pivoine,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bouvreuil ponceau,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant auréole,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant des neiges,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant des roseaux,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant fou,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant jaune,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant lapon,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant nain,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant ortolan,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant proyer,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant rustique,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant zizi,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bruant à calotte blanche,Petits Oiseaux,Aves,Passériformes,Emberizidés,Autre oiseau,pending_domain_review,source description exact-name membership
Busard cendré,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Busard des roseaux,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Busard pâle,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Busard Saint Martin,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Buse de harris,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Buse pattue,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Buse variable,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Butor étoilé,Grands Oiseaux,Aves,Pélécaniformes,Ardeidés,Grand échassier,pending_domain_review,source description exact-name membership
Bécasse des bois,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bécasseau cocorli,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécasseau de Bonaparte,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécasseau de Temminck,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécasseau falcinelle,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécasseau maubèche,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécasseau minute,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécasseau sanderling,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécasseau tacheté,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécasseau variable,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécasseau à queue pointue,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécassine des marais,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécassine double,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bécassine sourde,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Caille des blés,Moyens Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Caille du Japon,Moyens Oiseaux,Aves,Galliformes,Phasianidés,Domestique,pending_domain_review,source description exact-name membership
Calopsitte,Moyens Oiseaux,Aves,Psittaciformes,Psittacidés,Autre oiseau,pending_domain_review,source description exact-name membership
Campagnol,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Campagnol,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Campagnol,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Campagnol agreste,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Campagnol terrestre,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Canard chipeau,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Canard colvert,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Canard de barbarie,Grands Oiseaux,Aves,Ansériformes,Anatidés,Domestique,pending_domain_review,source description exact-name membership
Canard mandarin,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Canard pilet,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Canard semi-domestique,Grands Oiseaux,Aves,Ansériformes,Anatidés,Domestique,pending_domain_review,source description exact-name membership
Canard siffleur,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Canard souchet,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Cassenoix moucheté,Moyens Oiseaux,Aves,Passériformes,Corvidés,Corvidé,pending_domain_review,source description exact-name membership
Castor d'Europe,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Castorimorpha,Castoridés,Mammifère taille moyenne,pending_domain_review,taxonomy: Mammalia residual group
Cerf élaphe,Ongulés,Mammalia,Pecora,Cervidés,Ongulé,pending_domain_review,source description exact-name membership
Chardonneret élégant,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Chat haret,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Carnivora,Félidés,Domestique,pending_domain_review,taxonomy: AGW Domestique
Chat sylvestre,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Carnivora,Félidés,Mammifère taille moyenne,pending_domain_review,taxonomy: Mammalia residual group
Chevalier aboyeur,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Chevalier arlequin,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Chevalier bargette,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Chevalier culblanc,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Chevalier gambette,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Chevalier guignette,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Chevalier stagnatile,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Chevalier sylvain,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Chevreuil,Ongulés,Mammalia,Pecora,Cervidés,Ongulé,pending_domain_review,source description exact-name membership
Chevêche d'Athena,Rapaces,Aves,Strigiformes,Strigidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Chevêchette d'Europe,Rapaces,Aves,Strigiformes,Strigidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Chien viverrin,Canidés,Mammalia,Carnivora,Canidés,Mammifère taille moyenne,pending_domain_review,taxonomy: family Canidae
Choucas des tours,Moyens Oiseaux,Aves,Passériformes,Corvidés,Corvidé,pending_domain_review,source description exact-name membership
Chouette de Tengmalm,Rapaces,Aves,Strigiformes,Strigidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Chouette hulotte,Rapaces,Aves,Strigiformes,Strigidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Chouette épervière,Rapaces,Aves,Strigiformes,Strigidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Cigogne blanche,Grands Oiseaux,Aves,Ciconiiformes,Ciconiidés,Grand échassier,pending_domain_review,source description exact-name membership
Cigogne noire,Grands Oiseaux,Aves,Ciconiiformes,Ciconiidés,Grand échassier,pending_domain_review,source description exact-name membership
Cincle plongeur,Moyens Oiseaux,Aves,Passériformes,Cinclidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Circaète Jean le blanc,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Cisticole des joncs,Petits Oiseaux,Aves,Passériformes,Cisticolidés,Autre oiseau,pending_domain_review,source description exact-name membership
Cistude,"Reptiles, Amphibiens",Reptilia,Testudines,Emydidés,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Cochevis huppé,Moyens Oiseaux,Aves,Passériformes,Alaudidés,Autre oiseau,pending_domain_review,source description exact-name membership
Colin de Virginie,Moyens Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Colvert hybride,Grands Oiseaux,Aves,Ansériformes,Anatidés,Domestique,pending_domain_review,source description exact-name membership
Combattant varié,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Corbeau freux,Moyens Oiseaux,Aves,Passériformes,Corvidés,Corvidé,pending_domain_review,source description exact-name membership
Cormoran huppé,Grands Oiseaux,Aves,Suliformes,Phalacrocoracidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Corneille noire,Grands Oiseaux,Aves,Passériformes,Corvidés,Corvidé,pending_domain_review,source description exact-name membership
Coronelle lisse,"Reptiles, Amphibiens",Reptilia,Squamata,Colubridae,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Coucou geai,Moyens Oiseaux,Aves,Cuculiformes,Cuculidés,Autre oiseau,pending_domain_review,source description exact-name membership
Coucou gris,Moyens Oiseaux,Aves,Cuculiformes,Cuculidés,Autre oiseau,pending_domain_review,source description exact-name membership
Couleuvre à collier,"Reptiles, Amphibiens",Reptilia,Squamata,Natricidae,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Coulicou à bec jaune,Moyens Oiseaux,Aves,Cuculiformes,Cuculidés,Autre oiseau,pending_domain_review,source description exact-name membership
Courlis cendré,Grands Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Courlis corlieu,Grands Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Courlis à bec grèle,Grands Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Crabier chevelu,Grands Oiseaux,Aves,Pélécaniformes,Ardeidés,Grand échassier,pending_domain_review,source description exact-name membership
Crapaud calamite,"Reptiles, Amphibiens",Amphibia,Anura,Bufonidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Crapaud commun,"Reptiles, Amphibiens",Amphibia,Anura,Bufonidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Cygne chanteur,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Cygne de Bewick,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Cygne tuberculé,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Daim,Ongulés,Mammalia,Pecora,Cervidés,Ongulé,pending_domain_review,source description exact-name membership
Echasse blanche,Moyens Oiseaux,Aves,Charadriiformes,Récurvirostridés,Limicole,pending_domain_review,source description exact-name membership
Ecureuil roux,"Autres mammifères (Procyonidé, Viverridés, ...)",Mammalia,Rodentia,Sciuridés,Mammifère taille moyenne,pending_domain_review,taxonomy: Mammalia residual group
Effraie des clochers,Rapaces,Aves,Strigiformes,Tytonidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Eider à duvet,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Elanion blanc,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Engoulevent d'Europe,Moyens Oiseaux,Aves,Caprimulgiformes,Caprimulgidés,Autre oiseau,pending_domain_review,source description exact-name membership
Epervier d'Europe,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Erismature rousse,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Erismature à tête blanche,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Etourneau roselin,Moyens Oiseaux,Aves,Passériformes,Sturnidés,Autre oiseau,pending_domain_review,source description exact-name membership
Etourneau sansonnet,Moyens Oiseaux,Aves,Passériformes,Sturnidés,Autre oiseau,pending_domain_review,source description exact-name membership
Faisan de Colchide,Grands Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Faucon crécerelle,Rapaces,Aves,Falconiformes,Falconidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Faucon hobereau,Rapaces,Aves,Falconiformes,Falconidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Faucon kobez,Rapaces,Aves,Falconiformes,Falconidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Faucon pèlerin,Rapaces,Aves,Falconiformes,Falconidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Faucon émerillon,Rapaces,Aves,Falconiformes,Falconidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Fauvette babillarde,Petits Oiseaux,Aves,Passériformes,Sylviidés,Autre oiseau,pending_domain_review,source description exact-name membership
Fauvette des jardins,Petits Oiseaux,Aves,Passériformes,Sylviidés,Autre oiseau,pending_domain_review,source description exact-name membership
Fauvette grisette,Petits Oiseaux,Aves,Passériformes,Sylviidés,Autre oiseau,pending_domain_review,source description exact-name membership
Fauvette mélanocéphale,Petits Oiseaux,Aves,Passériformes,Sylviidés,Autre oiseau,pending_domain_review,source description exact-name membership
Fauvette orphée,Petits Oiseaux,Aves,Passériformes,Sylviidés,Autre oiseau,pending_domain_review,source description exact-name membership
Fauvette passerinette,Petits Oiseaux,Aves,Passériformes,Sylviidés,Autre oiseau,pending_domain_review,source description exact-name membership
Fauvette pitchou,Petits Oiseaux,Aves,Passériformes,Sylviidés,Autre oiseau,pending_domain_review,source description exact-name membership
Fauvette à tête noire,Petits Oiseaux,Aves,Passériformes,Sylviidés,Autre oiseau,pending_domain_review,source description exact-name membership
Fauvette épervière,Petits Oiseaux,Aves,Passériformes,Sylviidés,Autre oiseau,pending_domain_review,source description exact-name membership
Fou de Bassan,Grands Oiseaux,Aves,Suliformes,Sulidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Fouine,Mustélidés,Mammalia,Musteloidea,Mustélidés,Mustélidé,pending_domain_review,taxonomy: AGW Mustélidé
Foulque macroule,Moyens Oiseaux,Aves,Gruiformes,Rallidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Fuligule milouin,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Fuligule milouinan,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Fuligule morillon,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Fuligule nyroca,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Fuligule à bec cerclé,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Fulmar boréal,Grands Oiseaux,Aves,Procellariiformes,Procellaridés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Gallinule poule d'eau,Moyens Oiseaux,Aves,Gruiformes,Rallidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Ganga unibande,Grands Oiseaux,Aves,Pterocliformes,Pteroclidés,Autre oiseau,pending_domain_review,source description exact-name membership
Garrot à oeil d'or,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Geai des chênes,Moyens Oiseaux,Aves,Passériformes,Corvidés,Corvidé,pending_domain_review,source description exact-name membership
Genette,Mustélidés,Mammalia,Viverroidea,Viverridés,Mustélidé,pending_domain_review,taxonomy: AGW Mustélidé
Glaréole à collier,Moyens Oiseaux,Aves,Charadriiformes,Glaréolidés,Autre oiseau,pending_domain_review,source description exact-name membership
Gobemouche gris,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Gobemouche nain,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Gobemouche noir,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Gobemouche à collier,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Gorgebleue à miroir,Petits Oiseaux,Aves,Passériformes,Muscicapidés,Autre oiseau,pending_domain_review,source description exact-name membership
Goéland argenté,Grands Oiseaux,Aves,Charadriiformes,Laridés,Laridé,pending_domain_review,source description exact-name membership
Goéland bourgmestre,Grands Oiseaux,Aves,Charadriiformes,Laridés,Laridé,pending_domain_review,source description exact-name membership
Goéland brun,Grands Oiseaux,Aves,Charadriiformes,Laridés,Laridé,pending_domain_review,source description exact-name membership
Goéland cendré,Grands Oiseaux,Aves,Charadriiformes,Laridés,Laridé,pending_domain_review,source description exact-name membership
Goéland leucophée,Grands Oiseaux,Aves,Charadriiformes,Laridés,Laridé,pending_domain_review,source description exact-name membership
Goéland marin,Grands Oiseaux,Aves,Charadriiformes,Laridés,Laridé,pending_domain_review,source description exact-name membership
Goéland pontique,Grands Oiseaux,Aves,Charadriiformes,Laridés,Laridé,pending_domain_review,source description exact-name membership
Goéland à ailes blanches,Grands Oiseaux,Aves,Charadriiformes,Laridés,Laridé,pending_domain_review,source description exact-name membership
Grand Corbeau,Grands Oiseaux,Aves,Passériformes,Corvidés,Corvidé,pending_domain_review,source description exact-name membership
Grand Cormoran,Grands Oiseaux,Aves,Suliformes,Phalacrocoracidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Grand Hasmter,Rongeurs,Mammalia,Muroidea,Muridés,Micro-mammifère,pending_domain_review,taxonomy: AGW Micro-mammifère
Grand Labbe,Grands Oiseaux,Aves,Charadriiformes,Stercorariidés,Laridé,pending_domain_review,source description exact-name membership
Grand Tétras,Grands Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grand-Duc d'Europe,Rapaces,Aves,Strigiformes,Strigidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Grande Aigrette,Grands Oiseaux,Aves,Pélécaniformes,Ardeidés,Grand échassier,pending_domain_review,source description exact-name membership
Grenouille agile,"Reptiles, Amphibiens",Amphibia,Anura,Ranidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Grenouille de Lessona,"Reptiles, Amphibiens",Amphibia,Anura,Ranidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Grenouille rieuse,"Reptiles, Amphibiens",Amphibia,Anura,Ranidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Grenouille rousse,"Reptiles, Amphibiens",Amphibia,Anura,Ranidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Grenouille taureau,"Reptiles, Amphibiens",Amphibia,Anura,Ranidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Grenouille verte,"Reptiles, Amphibiens",Amphibia,Anura,Ranidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Grimperau des jardins,Petits Oiseaux,Aves,Passériformes,Certhiidés,Autre oiseau,pending_domain_review,taxonomy: Aves residual operational group
Grimpereau des bois,Petits Oiseaux,Aves,Passériformes,Certhiidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grive de Nauman,Moyens Oiseaux,Aves,Passériformes,Turdidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grive de Sibérie,Moyens Oiseaux,Aves,Passériformes,Turdidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grive dorée,Moyens Oiseaux,Aves,Passériformes,Turdidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grive draine,Moyens Oiseaux,Aves,Passériformes,Turdidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grive litorne,Moyens Oiseaux,Aves,Passériformes,Turdidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grive mauvis,Moyens Oiseaux,Aves,Passériformes,Turdidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grive musicienne,Moyens Oiseaux,Aves,Passériformes,Turdidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grive obscure,Moyens Oiseaux,Aves,Passériformes,Turdidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grive à gorge rousse,Moyens Oiseaux,Aves,Passériformes,Turdidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grosbec casse-noyaux,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Grue cendrée,Grands Oiseaux,Aves,Gruiformes,Gruidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Grue royale,Grands Oiseaux,Aves,Gruiformes,Gruidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Grèbe castagneux,Moyens Oiseaux,Aves,Podicipédiformes,Podicipedidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Grèbe esclavon,Moyens Oiseaux,Aves,Podicipédiformes,Podicipedidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Grèbe huppé,Grands Oiseaux,Aves,Podicipédiformes,Podicipedidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Grèbe jougris,Grands Oiseaux,Aves,Podicipédiformes,Podicipedidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Grèbe à cou noir,Moyens Oiseaux,Aves,Podicipédiformes,Podicipedidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Guifette leucoptère,Moyens Oiseaux,Aves,Passériformes,Sternidés,Laridé,pending_domain_review,source description exact-name membership
Guifette moustac,Moyens Oiseaux,Aves,Passériformes,Sternidés,Laridé,pending_domain_review,source description exact-name membership
Guifette noire,Moyens Oiseaux,Aves,Passériformes,Sternidés,Laridé,pending_domain_review,source description exact-name membership
Guillemot de Troïl,Grands Oiseaux,Aves,Charadriiformes,Alcidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Guêpier d'Europe,Moyens Oiseaux,Aves,Coraciiformes,Méropidés,Autre oiseau,pending_domain_review,source description exact-name membership
Gélinotte des bois,Grands Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Harelde boréale,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Harle bièvre,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Harle huppé,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Harle piette,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Hermine,Mustélidés,Mammalia,Musteloidea,Mustélidés,Mustélidé,pending_domain_review,taxonomy: AGW Mustélidé
Hibou des marais,Rapaces,Aves,Strigiformes,Strigidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Hibou moyen-duc,Rapaces,Aves,Strigiformes,Strigidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Hirondelle de fenêtre,Petits Oiseaux,Aves,Passériformes,Hirundinidés,Autre oiseau,pending_domain_review,source description exact-name membership
Hirondelle de rivage,Petits Oiseaux,Aves,Passériformes,Hirundinidés,Autre oiseau,pending_domain_review,source description exact-name membership
Hirondelle des rochers,Petits Oiseaux,Aves,Passériformes,Hirundinidés,Autre oiseau,pending_domain_review,source description exact-name membership
Hirondelle rousseline,Petits Oiseaux,Aves,Passériformes,Hirundinidés,Autre oiseau,pending_domain_review,source description exact-name membership
Hirondelle rustique,Petits Oiseaux,Aves,Passériformes,Hirundinidés,Autre oiseau,pending_domain_review,source description exact-name membership
Huppe fasciée,Moyens Oiseaux,Aves,Bucérotiformes,Upudidés,Autre oiseau,pending_domain_review,source description exact-name membership
Huîtrier pie,Grands Oiseaux,Aves,Charadriiformes,Haematopodidés,Limicole,pending_domain_review,source description exact-name membership
Hypolaïs ictérine,Petits Oiseaux,Aves,Passériformes,Acrocéphalidés,Autre oiseau,pending_domain_review,source description exact-name membership
Hypolaïs polyglotte,Petits Oiseaux,Aves,Passériformes,Acrocéphalidés,Autre oiseau,pending_domain_review,source description exact-name membership
Hérisson,Hérissons / Insectivore,Mammalia,Eulipotyphla,Erinaceidae,Micro-mammifère,pending_domain_review,taxonomy: insectivore family
