ID,Species,CreavesSpecies,Class,Order,Family,NativeStatus,AgwGroup,SubsideGroup,Game,Huntable
SP245,Loxia curvirostra,Bec-croisé des sapins,Aves,Passériformes,Fringillidés,NS1,Autre oiseau,SG2,0,0
SP246,Loxia leucoptera,Bec-croisé bifascié,Aves,Passériformes,Fringillidés,NS1,Autre oiseau,SG2,0,0
SP247,Loxia pityopsittacus,Bec-croisé perroquet,Aves,Passériformes,Fringillidés,NS1,Autre oiseau,SG2,0,0
SP248,Lullula arborea,Alouette lulu,Aves,Passériformes,Alaudidés,NS1,Autre oiseau,SG2,0,0
SP249,Luscinia luscinia,Rossignol progné,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP25,Anas platyrhynchos,Canard colvert,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,1
SP250,Luscinia megarhynchos,Rossignol philomèle,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP251,Luscinia svecica,Gorgebleue à miroir,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP252,Lutra lutra,Loutre,Mammalia,Musteloidea,Mustélidés,NS1,Mustélidé,SG3,0,0
SP253,Lymnocryptes minimus,Bécassine sourde,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,1,0
SP254,Lynx lynx,Lynx boréal,Mammalia,Carnivora,Félidés,NS1,Mammifère taille moyenne,SG3,0,0
SP255,Martes foina,Fouine,Mammalia,Musteloidea,Mustélidés,NS1,Mustélidé,SG3,1,0
SP256,Martes martes,Martre des pins,Mammalia,Musteloidea,Mustélidés,NS1,Mustélidé,SG3,1,0
SP257,Melanitta fusca,Macreuse brune,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP258,Melanitta nigra,Macreuse noire,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP259,Melanocorypha calandra,Alouette calandre,Aves,Passériformes,Alaudidés,NS1,Autre oiseau,SG2,0,0
SP26,Anas platyrhynchos domesticus CI,Colvert hybride,Aves,Ansériformes,Anatidés,NS4,Domestique,SG4,0,0
SP260,Melanocorypha leucoptera,Alouette leucoptère,Aves,Passériformes,Alaudidés,NS1,Autre oiseau,SG2,0,0
SP261,Meles meles,Blaireau d'Europe,Mammalia,Musteloidea,Mustélidés,NS1,Mustélidé,SG3,0,0
SP262,Melopsittacus undulatus,Perruche ondulée,Aves,Psittaciformes,Psittaculidée,NS2,Autre oiseau,SG2,0,0
SP263,Mergus albellus,Harle piette,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP264,Mergus merganser,Harle bièvre,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP265,Mergus serrator,Harle huppé,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP266,Merops apiaster,Guêpier d'Europe,Aves,Coraciiformes,Méropidés,NS1,Autre oiseau,SG2,0,0
SP267,Micromys minutus,Rat des moissons,Mammalia,Muroidea,Muridés,NS1,Micro-mammifère,SG3,0,0
SP268,Microtus agrestis,Campagnol agreste,Mammalia,Muroidea,Muridés,NS1,Micro-mammifère,SG3,0,0
SP269,Microtus arvalis,Campagnol,Mammalia,Muroidea,Muridés,NS1,Micro-mammifère,SG3,0,0
SP27,Anas querquedula,Sarcelle d'été,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,0
SP270,Microtus subterraneus,Campagnol,Mammalia,Muroidea,Muridés,NS1,Micro-mammifère,SG3,0,0
SP271,Milvus migrans,Milan noir,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
