ID,Country,Region,Province,Municipality,SubMunicipality,PostalCode,Locality,Zoning,Direction
L84,Belgique,Wallonie,BRABANT WALLON,JODOIGNE,1,1370,Jauchelette,NIVELLES,MONS
L85,Belgique,Wallonie,BRABANT WALLON,LASNE,0,1380,Lasne,NIVELLES,MONS
L86,Belgique,Wallonie,BRABANT WALLON,LASNE,1,1380,Maransart,NIVELLES,MONS
L87,Belgique,Wallonie,BRABANT WALLON,LASNE,1,1380,Ohain,NIVELLES,MONS
L88,Belgique,Wallonie,BRABANT WALLON,LASNE,1,1380,Plancenoit,NIVELLES,MONS
L89,Belgique,Wallonie,BRABANT WALLON,LASNE,1,1380,Couture-Saint-Germain,NIVELLES,MONS
L90,Belgique,Wallonie,BRABANT WALLON,LASNE,1,1380,Lasne-Chapelle-Saint-Lambert,NIVELLES,MONS
L91,Belgique,Wallonie,BRABANT WALLON,GREZ-DOICEAU,0,1390,Grez-Doiceau,NIVELLES,MONS
L92,Belgique,Wallonie,BRABANT WALLON,GREZ-DOICEAU,1,1390,Nethen,NIVELLES,MONS
L93,Belgique,Wallonie,BRABANT WALLON,GREZ-DOICEAU,1,1390,Hèze,NIVELLES,MONS
L94,Belgique,Wallonie,BRABANT WALLON,GREZ-DOICEAU,1,1390,Pécrot,NIVELLES,MONS
L95,Belgique,Wallonie,BRABANT WALLON,GREZ-DOICEAU,1,1390,Biez,NIVELLES,MONS
L96,Belgique,Wallonie,BRABANT WALLON,GREZ-DOICEAU,1,1390,Archennes,NIVELLES,MONS
L97,Belgique,Wallonie,BRABANT WALLON,GREZ-DOICEAU,1,1390,Bossut-Gottechain,NIVELLES,MONS
L98,Belgique,Wallonie,BRABANT WALLON,NIVELLES,0,1400,Nivelles,NIVELLES,MONS
L99,Belgique,Wallonie,BRABANT WALLON,NIVELLES,1,1400,Monstreux,NIVELLES,MONS
L100,Belgique,Wallonie,BRABANT WALLON,NIVELLES,1,1401,Baulers,NIVELLES,MONS
L101,Belgique,Wallonie,BRABANT WALLON,NIVELLES,1,1402,Thines,NIVELLES,MONS
L102,Belgique,Wallonie,BRABANT WALLON,NIVELLES,1,1404,Bornival,NIVELLES,MONS
L103,Belgique,Wallonie,BRABANT WALLON,WATERLOO,0,1410,Waterloo,NIVELLES,MONS
L104,Belgique,Wallonie,BRABANT WALLON,BRAINE-L'ALLEUD,0,1420,Braine-l'Alleud,NIVELLES,MONS
L105,Belgique,Wallonie,BRABANT WALLON,BRAINE-L'ALLEUD,1,1421,Ophain-Bois-Seigneur-Isaac,NIVELLES,MONS
L106,Belgique,Wallonie,BRABANT WALLON,BRAINE-L'ALLEUD,1,1428,Lillois-Witterzée,NIVELLES,MONS
L107,Belgique,Wallonie,BRABANT WALLON,REBECQ,1,1430,Bierghes,NIVELLES,MONS
L108,Belgique,Wallonie,BRABANT WALLON,REBECQ,1,1430,Quenast,NIVELLES,MONS
L109,Belgique,Wallonie,BRABANT WALLON,REBECQ,1,1430,Rebecq-Rognon,NIVELLES,MONS
L110,Belgique,Wallonie,BRABANT WALLON,MONT-SAINT-GUIBERT,0,1435,Mont-Saint-Guibert,NIVELLES,MONS
L111,Belgique,Wallonie,BRABANT WALLON,MONT-SAINT-GUIBERT,1,1435,Corbais,NIVELLES,MONS
L112,Belgique,Wallonie,BRABANT WALLON,MONT-SAINT-GUIBERT,1,1435,Hévillers,NIVELLES,MONS
L113,Belgique,Wallonie,BRABANT WALLON,BRAINE-LE-CHÂTEAU,0,1440,Braine-le-Château,NIVELLES,MONS
L114,Belgique,Wallonie,BRABANT WALLON,BRAINE-LE-CHÂTEAU,1,1440,Wauthier-Braine,NIVELLES,MONS
L115,Belgique,Wallonie,BRABANT WALLON,CHASTRE,0,1450,Chastre,NIVELLES,MONS
L116,Belgique,Wallonie,BRABANT WALLON,CHASTRE,1,1450,Cortil-Noirmont,NIVELLES,MONS
L117,Belgique,Wallonie,BRABANT WALLON,CHASTRE,1,1450,Chastre-Villeroux-Blanmont,NIVELLES,MONS
L118,Belgique,Wallonie,BRABANT WALLON,CHASTRE,1,1450,Saint-Géry,NIVELLES,MONS
L119,Belgique,Wallonie,BRABANT WALLON,CHASTRE,1,1450,Gentinnes,NIVELLES,MONS
L120,Belgique,Wallonie,BRABANT WALLON,WALHAIN,0,1457,Walhain,NIVELLES,MONS
L121,Belgique,Wallonie,BRABANT WALLON,WALHAIN,1,1457,Tourinnes-Saint-Lambert,NIVELLES,MONS
L122,Belgique,Wallonie,BRABANT WALLON,WALHAIN,1,1457,Nil-Saint-Vincent-Saint-Martin,NIVELLES,MONS
L123,Belgique,Wallonie,BRABANT WALLON,WALHAIN,1,1457,Walhain-Saint-Paul,NIVELLES,MONS
L124,Belgique,Wallonie,BRABANT WALLON,ITTRE,0,1460,Ittre,NIVELLES,MONS
L125,Belgique,Wallonie,BRABANT WALLON,ITTRE,1,1460,Virginal-Samme,NIVELLES,MONS
L126,Belgique,Wallonie,BRABANT WALLON,ITTRE,1,1461,Haut-Ittre,NIVELLES,MONS
L127,Belgique,Wallonie,BRABANT WALLON,GENAPPE,1,1470,Bousval,NIVELLES,MONS
L128,Belgique,Wallonie,BRABANT WALLON,GENAPPE,1,1470,Baisy-Thy,NIVELLES,MONS
L129,Belgique,Wallonie,BRABANT WALLON,GENAPPE,0,1470,Genappe,NIVELLES,MONS
L130,Belgique,Wallonie,BRABANT WALLON,GENAPPE,1,1471,Loupoigne,NIVELLES,MONS
L131,Belgique,Wallonie,BRABANT WALLON,GENAPPE,1,1472,Vieux-Genappe,NIVELLES,MONS
L132,Belgique,Wallonie,BRABANT WALLON,GENAPPE,1,1473,Glabais,NIVELLES,MONS
L133,Belgique,Wallonie,BRABANT WALLON,GENAPPE,1,1474,Ways,NIVELLES,MONS
L134,Belgique,Wallonie,BRABANT WALLON,GENAPPE,1,1476,Houtain-le-Val,NIVELLES,MONS
L135,Belgique,Wallonie,BRABANT WALLON,TUBIZE,1,1480,Clabecq,NIVELLES,MONS
L136,Belgique,Wallonie,BRABANT WALLON,TUBIZE,1,1480,Oisquercq,NIVELLES,MONS
L137,Belgique,Wallonie,BRABANT WALLON,TUBIZE,1,1480,Saintes,NIVELLES,MONS
L138,Belgique,Wallonie,BRABANT WALLON,TUBIZE,0,1480,Tubize,NIVELLES,MONS
L139,Belgique,Wallonie,BRABANT WALLON,COURT-SAINT-ETIENNE,0,1490,Court-Saint-Etienne,NIVELLES,MONS
L140,Belgique,Wallonie,BRABANT WALLON,VILLERS-LA-VILLE,0,1495,Villers-la-Ville,NIVELLES,MONS
